162373
1 4 7
1 5 10
1 7 5
1 9 5
1 10 5
1 12 10
1 18 3
1 20 1
1 22 3
1 25 6
1 27 1
1 31 9
1 32 1
1 34 5
1 37 7
1 38 5
1 41 3
1 43 9
1 44 8
1 46 1
1 47 3
1 50 6
1 52 3
1 53 7
1 58 5
1 60 5
1 65 3
1 66 6
1 67 3
1 68 10
1 78 3
1 79 6
1 82 10
1 85 9
1 88 1
1 90 9
1 95 10
1 98 4
1 99 3
1 100 4
1 103 2
1 104 1
1 105 2
1 108 1
1 109 3
1 112 5
1 117 9
1 122 4
1 126 2
1 128 3
1 129 4
1 130 2
1 132 3
1 133 2
1 140 4
1 145 1
1 146 3
1 149 4
1 150 5
1 151 5
1 152 3
1 153 7
1 158 4
1 160 6
1 162 10
1 163 6
1 166 3
1 168 3
1 171 3
1 172 3
1 173 7
1 175 10
1 177 3
1 178 8
1 181 10
1 182 7
1 184 4
1 191 8
1 192 10
1 199 7
1 202 1
1 204 2
1 211 9
1 218 10
1 223 4
1 231 5
1 232 6
1 233 1
1 234 4
1 235 7
1 236 7
1 239 3
1 240 9
1 250 1
1 251 6
1 252 6
1 254 3
1 255 2
1 257 4
1 259 10
1 266 9
1 271 1
1 272 1
1 275 5
1 277 1
1 280 5
1 281 9
1 282 6
1 283 5
1 288 8
1 292 8
1 296 7
1 301 5
1 304 6
1 306 2
1 311 8
1 313 4
1 314 9
1 318 4
1 319 10
1 320 6
1 323 1
1 324 5
1 332 4
1 335 8
1 336 5
1 339 4
1 341 3
1 342 8
1 343 4
1 345 10
1 348 6
1 349 5
1 353 8
1 355 6
1 359 6
1 360 9
1 362 1
1 364 2
1 365 2
1 366 10
1 367 7
1 370 5
1 373 3
1 375 4
1 376 2
1 377 4
1 380 3
1 383 5
1 384 3
1 387 3
1 388 7
1 389 9
1 394 5
1 395 5
1 398 6
1 399 3
1 403 5
1 404 3
1 411 6
1 412 9
1 414 4
1 415 2
1 416 1
1 418 1
1 419 10
1 423 8
1 430 2
1 433 4
1 437 4
1 440 6
1 441 1
1 445 10
1 447 7
1 448 2
1 449 3
1 450 9
1 453 5
1 454 10
1 456 1
1 462 10
1 463 3
1 464 5
1 470 8
1 471 5
1 473 2
1 474 5
1 476 8
1 480 10
1 481 3
1 487 5
1 488 8
1 489 1
1 492 7
1 494 3
1 496 9
1 497 5
1 501 4
1 505 7
1 511 9
1 517 10
1 519 5
1 531 9
1 533 6
1 536 1
1 537 5
1 543 3
1 545 3
1 547 3
1 548 6
1 551 8
1 552 2
1 553 10
1 559 2
1 560 4
1 564 1
1 566 10
1 568 4
1 570 10
1 572 5
1 573 9
1 575 1
1 582 9
1 583 4
1 586 1
1 587 9
1 591 5
1 592 5
1 594 10
1 595 3
1 596 2
1 602 9
1 603 1
1 605 9
1 607 9
1 609 6
1 610 7
1 611 5
1 613 7
1 615 3
1 616 3
1 620 10
1 621 10
1 622 3
1 625 4
1 630 2
1 631 6
1 633 2
1 635 3
1 637 8
1 639 3
1 644 3
1 648 2
1 652 6
1 654 2
1 655 3
1 656 10
1 659 8
1 660 9
1 661 7
1 665 1
1 667 7
1 668 6
1 669 6
1 677 5
1 679 6
1 680 5
1 681 7
1 682 5
1 683 5
1 688 7
1 692 6
1 693 5
1 695 10
1 696 10
1 697 6
1 698 3
1 700 10
1 702 4
1 704 8
1 712 7
1 714 10
1 715 4
1 718 10
1 720 1
1 721 9
1 723 2
1 730 8
1 731 9
1 733 8
1 734 5
1 735 7
1 738 8
1 741 5
1 742 6
1 748 9
1 753 3
1 758 2
1 762 10
1 766 7
1 773 4
1 776 10
1 777 3
1 779 1
1 780 9
1 790 9
1 794 4
1 796 4
1 797 10
1 798 1
1 801 6
1 804 6
1 808 2
1 809 3
1 810 3
1 811 1
1 814 4
1 816 9
1 818 1
1 819 7
1 822 10
1 823 8
1 834 9
1 835 2
1 837 6
1 838 5
1 839 10
1 845 6
1 846 7
1 848 4
1 849 10
1 852 5
1 853 4
1 854 2
1 856 8
1 857 3
1 858 8
1 859 9
1 861 8
1 865 1
1 867 7
1 870 4
1 871 2
1 872 10
1 876 5
1 881 5
1 882 2
1 883 1
1 885 9
1 886 8
1 887 4
1 892 10
1 893 5
1 895 1
1 898 10
1 903 4
1 904 1
1 908 8
1 910 7
2 3 6
2 4 8
2 7 6
2 9 4
2 12 4
