959
1 2 3
1 18 9
1 32 2
1 63 8
1 125 2
1 646 10
2 3 1
2 5 2
2 56 3
2 503 8
3 4 1
3 6 4
3 9 9
3 109 6
3 121 5
3 212 10
3 431 5
4 7 9
4 14 9
4 16 3
4 49 9
4 104 9
4 335 3
5 8 9
5 12 4
5 96 6
5 128 10
5 405 5
6 50 6
6 71 8
6 119 4
6 260 5
6 332 10
6 481 3
6 948 5
7 10 5
7 24 6
7 37 7
7 75 10
8 19 5
8 20 5
8 38 6
8 85 3
8 175 3
8 255 7
8 507 9
9 11 9
9 43 2
9 57 5
9 108 7
9 145 1
9 153 2
9 904 3
10 40 5
10 55 1
10 77 7
10 180 9
10 247 8
10 569 1
10 655 7
11 39 7
11 167 6
12 13 10
12 29 7
12 76 5
13 88 5
13 449 9
14 15 5
14 31 9
14 42 2
14 44 2
14 65 4
14 73 4
14 156 6
14 236 5
14 275 3
15 21 10
15 230 2
16 17 5
16 23 6
16 25 6
16 34 7
16 68 1
16 404 2
17 28 9
17 316 5
17 572 3
18 27 6
18 98 4
18 110 4
18 307 7
18 402 3
18 435 8
18 755 9
19 956 3
20 22 10
20 90 4
20 127 3
20 148 7
20 234 7
20 282 8
21 36 9
21 46 2
21 48 3
21 70 4
21 116 7
21 152 10
21 408 10
21 678 5
22 33 3
22 35 2
22 155 4
22 225 4
22 525 1
23 62 1
23 432 3
23 433 5
24 45 7
24 60 1
24 81 7
24 99 1
24 103 9
24 233 6
24 308 10
24 392 1
25 26 4
25 262 1
26 176 6
26 194 1
26 450 6
26 839 10
27 142 10
27 178 9
27 196 8
29 30 1
29 94 6
30 52 10
30 417 5
31 41 3
31 80 10
31 163 10
31 177 10
31 219 2
31 251 3
32 229 8
32 595 4
32 651 6
33 292 3
34 72 2
34 203 3
34 245 2
34 679 3
35 117 7
36 51 6
36 61 9
36 64 6
36 93 6
36 146 8
36 298 1
36 362 2
37 89 1
37 752 6
38 92 10
38 100 1
38 607 5
38 652 8
39 53 7
39 54 7
39 69 3
39 86 7
39 191 7
39 581 9
40 198 7
40 412 1
40 680 10
40 815 6
41 351 8
42 256 8
42 619 5
43 47 6
43 82 2
43 278 3
44 87 4
44 623 6
44 821 7
44 910 8
45 58 10
45 169 4
45 283 8
45 730 4
45 934 9
46 576 4
46 682 7
47 79 2
47 134 5
47 602 1
48 205 3
48 287 10
48 391 10
48 476 1
48 700 8
49 67 9
49 83 9
50 350 1
50 548 8
51 136 5
51 261 2
52 249 4
52 291 7
53 84 1
53 170 5
53 171 5
53 185 4
53 500 6
54 143 7
54 186 8
54 240 4
55 59 8
55 380 8
56 224 5
56 555 4
56 864 7
58 183 5
59 460 10
59 511 7
60 131 5
61 66 8
61 368 8
61 606 7
61 751 4
62 74 10
62 78 8
62 122 8
62 304 5
63 112 9
63 371 10
63 559 2
64 250 5
65 264 8
65 381 8
66 107 7
66 132 5
66 222 8
66 438 8
66 557 10
67 101 10
67 940 5
68 139 2
68 270 2
68 699 7
69 289 1
69 770 7
70 285 8
71 91 6
71 106 2
71 442 4
72 305 2
74 114 8
74 204 3
74 536 1
75 644 4
75 844 1
77 164 10
77 174 4
77 267 8
77 804 4
78 166 3
78 173 1
79 886 2
80 95 10
80 159 7
81 97 4
81 319 7
81 334 10
81 729 7
82 157 6
82 231 5
83 271 8
83 288 4
84 209 6
85 633 8
85 887 7
86 129 6
86 215 7
86 341 3
87 161 6
87 206 7
88 118 2
88 372 5
88 418 3
88 445 1
88 467 4
89 257 9
89 427 3
90 133 3
91 102 10
91 105 3
91 182 6
91 387 2
92 160 5
92 266 5
93 532 6
93 620 4
94 140 6
94 217 5
94 346 2
94 439 5
94 795 4
95 126 7
96 111 1
96 149 2
96 357 9
96 596 7
97 113 2
97 124 7
97 393 1
97 523 6
97 843 6
98 137 4
99 168 1
99 193 3
99 484 5
99 492 8
101 659 3
101 855 5
102 151 3
102 246 3
102 745 9
102 838 2
102 922 3
103 519 10
104 833 1
105 187 4
105 629 1
108 115 6
108 248 6
109 280 9
110 120 3
111 356 5
111 575 10
113 154 4
113 586 6
114 162 2
114 379 1
114 458 3
115 322 7
115 324 1
116 135 9
116 144 4
116 188 10
117 150 3
117 254 8
117 337 7
118 900 4
119 179 9
120 214 4
120 241 7
120 430 9
120 783 6
121 123 7
121 365 9
121 513 1
121 573 7
122 190 5
122 200 6
124 202 9
124 489 7
127 130 7
127 340 4
127 395 6
127 672 6
127 713 9
129 138 1
129 147 4
129 223 7
130 207 10
131 141 5
131 333 4
132 172 6
132 221 8
132 422 10
132 955 5
133 451 8
133 718 3
135 487 4
135 565 5
136 201 8
137 323 6
137 385 7
138 453 8
138 668 6
139 239 5
140 929 4
141 321 6
142 317 8
142 376 7
143 737 9
144 593 3
144 628 3
144 834 3
145 318 3
147 558 6
148 310 5
149 767 6
150 731 9
151 216 7
151 226 6
151 237 7
151 390 4
152 866 4
152 928 7
153 192 3
153 339 6
153 389 8
153 658 5
153 757 5
154 253 5
154 853 8
156 158 9
156 184 8
156 302 4
157 165 5
157 243 7
157 701 8
158 309 1
158 482 9
159 195 8
160 268 6
161 296 8
162 279 3
163 367 3
163 920 8
164 199 2
164 290 9
164 398 3
164 537 3
164 810 3
165 849 7
166 300 10
166 636 9
167 211 7
168 343 6
169 181 1
170 384 8
170 585 3
171 889 5
172 499 7
172 516 10
172 539 5
172 715 2
173 259 4
173 329 3
173 396 10
173 597 3
175 331 10
175 640 3
175 825 3
176 220 2
176 301 1
176 313 1
176 336 8
176 478 4
176 670 9
177 361 7
177 505 8
177 943 1
178 406 6
178 778 6
179 189 9
179 591 3
183 819 10
184 197 5
184 276 9
184 705 8
186 210 7
186 244 9
186 312 5
187 769 1
188 299 3
188 378 9
189 338 9
189 501 3
190 394 10
190 689 9
191 386 9
191 850 1
192 232 8
192 235 10
193 407 8
193 496 3
193 661 10
194 213 6
194 568 5
196 382 7
197 399 2
197 696 7
199 272 3
199 353 10
200 375 3
200 528 6
200 601 2
201 208 8
201 630 8
202 277 1
204 388 5
206 370 5
207 228 5
207 328 3
207 524 9
208 352 6
208 440 1
209 574 7
211 238 3
211 588 6
212 218 8
213 359 2
213 409 5
213 414 9
213 589 1
214 311 3
215 515 8
216 434 5
216 520 4
217 303 2
218 485 7
218 600 6
220 227 7
221 252 1
221 664 3
221 860 10
222 686 10
223 865 2
224 494 10
225 297 2
226 959 7
227 348 7
227 471 5
228 242 4
228 538 7
230 691 9
232 258 3
233 470 5
234 571 9
236 465 7
237 265 10
239 364 1
241 746 5
242 349 3
242 684 2
243 284 3
243 369 1
243 687 2
243 690 5
248 274 1
249 403 5
250 397 5
251 273 3
251 938 9
252 263 1
252 281 5
252 915 9
253 410 5
253 564 10
254 344 7
254 495 8
255 293 9
255 533 9
256 937 8
257 326 9
259 325 7
259 347 5
260 531 6
260 632 2
262 420 10
262 793 2
263 512 6
263 546 2
263 695 1
263 772 6
264 269 4
264 709 7
268 354 5
269 735 8
269 827 6
270 711 5
271 327 9
271 881 1
273 454 3
274 704 3
274 808 5
276 734 1
277 294 7
277 425 10
277 444 3
277 674 9
277 710 7
278 733 2
280 462 6
282 426 4
282 461 2
282 486 1
282 642 10
283 286 10
283 474 2
284 345 3
284 768 3
286 315 8
286 413 5
286 669 2
286 774 4
287 685 8
289 802 6
290 295 4
291 545 5
292 567 5
292 635 4
295 330 9
295 415 7
297 663 8
298 946 2
299 469 2
300 366 10
301 448 8
301 506 5
301 830 7
302 306 1
302 314 3
303 374 4
303 647 5
303 930 8
304 570 7
304 905 3
308 360 3
308 436 7
308 871 7
309 363 6
309 419 6
309 529 8
310 723 9
311 320 3
311 719 9
311 837 2
311 952 10
313 561 5
313 947 10
314 608 10
314 882 1
316 377 3
316 625 1
319 355 10
319 423 1
319 863 9
320 534 4
320 657 1
320 736 10
321 605 1
324 614 6
324 673 8
325 526 5
326 854 1
330 894 10
332 421 3
332 540 5
332 621 10
333 383 6
333 880 7
334 401 5
335 342 3
335 491 10
337 726 2
338 373 9
339 400 9
339 777 3
341 358 2
341 447 8
341 688 1
342 457 3
342 522 3
346 530 6
349 583 1
349 856 10
355 437 6
356 818 1
357 949 5
358 615 7
358 616 6
359 584 4
359 721 3
359 773 2
360 638 4
361 428 2
363 416 8
364 493 7
364 518 8
366 475 1
368 845 1
369 626 8
372 441 8
372 563 4
372 749 3
373 472 4
375 456 5
375 562 7
375 732 5
375 738 3
376 754 3
377 694 10
377 750 1
378 806 4
379 759 10
379 921 9
380 483 3
380 592 2
382 535 5
382 579 10
383 587 6
384 411 9
385 743 2
386 578 8
387 762 1
388 648 1
388 787 1
389 452 9
390 424 9
390 851 7
394 429 9
394 497 8
394 637 2
396 624 3
400 455 4
400 868 3
401 550 10
401 836 5
404 552 7
405 446 9
405 720 1
405 958 7
406 502 2
407 798 7
408 479 4
409 761 10
412 459 6
412 594 6
412 899 7
412 907 8
415 708 9
417 766 4
417 875 7
418 464 10
418 874 8
419 443 7
419 463 3
419 807 3
420 890 4
420 931 1
421 466 7
422 654 9
424 504 7
425 775 8
428 468 5
428 554 1
430 477 5
430 490 5
430 510 6
433 610 7
434 698 6
434 891 2
435 508 3
435 714 9
438 649 7
443 951 3
446 480 6
447 693 3
448 665 5
449 514 9
450 509 7
450 811 5
456 473 10
457 671 1
458 517 10
458 820 3
460 488 4
462 604 3
463 741 10
464 639 6
464 722 1
468 549 9
473 556 10
473 650 7
477 498 3
479 634 1
481 618 8
482 521 5
484 879 7
486 551 8
488 872 2
490 566 2
491 812 1
493 527 1
494 544 3
494 577 9
494 598 2
495 846 5
496 828 8
498 913 3
500 676 5
505 542 1
508 560 4
508 667 2
508 803 1
509 653 4
509 942 7
510 848 9
511 582 5
511 784 9
512 609 2
514 765 10
516 580 2
518 923 8
519 957 8
520 599 9
520 873 4
522 662 5
524 541 9
524 543 5
526 840 7
530 932 7
532 826 1
534 876 9
537 779 2
540 727 1
541 895 1
542 547 1
544 859 1
547 553 9
548 716 9
552 675 5
553 717 3
554 728 4
555 835 6
559 622 6
562 842 6
563 660 5
566 781 1
569 801 5
570 791 4
572 960 1
573 780 5
573 805 6
574 692 1
576 590 3
578 706 7
578 797 5
579 877 2
581 603 3
583 878 1
584 697 2
584 869 4
585 627 3
585 847 9
586 782 5
587 612 3
588 617 8
589 724 4
593 613 7
593 683 7
593 702 2
594 936 3
595 656 4
595 870 10
596 611 10
598 712 5
600 862 7
603 631 7
604 740 1
608 739 7
609 852 2
613 645 3
617 796 2
619 776 4
622 888 4
627 918 2
628 703 7
629 925 8
634 681 3
636 641 1
637 643 9
637 911 6
638 814 1
640 861 5
641 908 3
641 917 4
646 725 2
647 771 4
648 809 3
649 902 8
650 788 5
654 742 5
655 883 8
656 790 2
658 748 3
659 677 6
660 666 2
661 747 10
663 829 6
667 909 1
667 927 10
669 753 8
672 744 4
673 867 6
677 785 8
683 897 1
687 800 7
690 941 6
697 832 5
699 756 10
703 707 10
703 885 9
707 903 1
710 901 10
716 912 3
718 816 4
721 792 1
724 919 7
727 789 7
733 764 4
734 763 7
739 924 5
742 758 2
742 786 7
751 933 9
757 760 1
757 884 7
771 813 7
774 799 1
775 823 3
778 950 5
780 896 9
781 794 3
783 944 6
792 831 10
799 841 6
806 822 1
808 817 10
815 939 9
818 893 5
822 824 2
823 892 3
828 914 1
830 953 2
834 906 10
839 916 9
847 858 10
850 857 4
874 898 10
892 945 7
907 926 1
918 935 9
924 954 5
